"subject","gender","age","avatar","avatarIsCat"
"C810","Female",38,"cat",TRUE
"D1285","Female",38,"cat",TRUE
"D1375","Female",38,"cat",TRUE
"D1449","Female",38,"cat",TRUE
"E1666","Female",38,"cat",TRUE
"A324","Male",38,"cat",TRUE
"B443","Male",38,"cat",TRUE
"B482","Male",38,"cat",TRUE
"B547","Male",38,"cat",TRUE
"C1037","Male",38,"cat",TRUE
"C1063","Male",38,"cat",TRUE
"C834","Male",38,"cat",TRUE
"C950","Male",38,"cat",TRUE
"D1397","Male",38,"cat",TRUE
"A110","Female",39,"cat",TRUE
"A138","Female",39,"cat",TRUE
"A216","Female",39,"cat",TRUE
"A318","Female",39,"cat",TRUE
"A332","Female",39,"cat",TRUE
"A43","Female",39,"cat",TRUE
"B460","Female",39,"cat",TRUE
"B502","Female",39,"cat",TRUE
"B581","Female",39,"cat",TRUE
"B648","Female",39,"cat",TRUE
"B733","Female",39,"cat",TRUE
"C1123","Female",39,"cat",TRUE
"C951","Female",39,"cat",TRUE
"D1223","Female",39,"cat",TRUE
"E1550","Female",39,"cat",TRUE
"E1557","Female",39,"cat",TRUE
"E1589","Female",39,"cat",TRUE
"E1660","Female",39,"cat",TRUE
"A311","Male",39,"cat",TRUE
"E1588","Male",39,"cat",TRUE
"A222","Female",40,"cat",TRUE
"A242","Female",40,"cat",TRUE
"A269","Female",40,"cat",TRUE
"B466","Female",40,"cat",TRUE
"B532","Female",40,"cat",TRUE
"C1010","Female",40,"cat",TRUE
"C1064","Female",40,"cat",TRUE
"C1103","Female",40,"cat",TRUE
"C781","Female",40,"cat",TRUE
"C846","Female",40,"cat",TRUE
"D1208","Female",40,"cat",TRUE
"D1501","Female",40,"cat",TRUE
"E1749","Female",40,"cat",TRUE
"E1757","Female",40,"cat",TRUE
"E1801","Female",40,"cat",TRUE
"B555","Male",40,"cat",TRUE
"B616","Male",40,"cat",TRUE
"D1200","Male",40,"cat",TRUE
"E1799","Male",40,"cat",TRUE
"E1838","Male",40,"cat",TRUE
"A10","Female",41,"cat",TRUE
"A115","Female",41,"cat",TRUE
"B484","Female",41,"cat",TRUE
"B500","Female",41,"cat",TRUE
"B625","Female",41,"cat",TRUE
"B658","Female",41,"cat",TRUE
"C1033","Female",41,"cat",TRUE
"C1048","Female",41,"cat",TRUE
"C774","Female",41,"cat",TRUE
"C876","Female",41,"cat",TRUE
"D1229","Female",41,"cat",TRUE
"D1336","Female",41,"cat",TRUE
"D1463","Female",41,"cat",TRUE
"E1624","Female",41,"cat",TRUE
"E1630","Female",41,"cat",TRUE
"E1638","Female",41,"cat",TRUE
"E1821","Female",41,"cat",TRUE
"A344","Male",41,"cat",TRUE
"B579","Male",41,"cat",TRUE
"C791","Male",41,"cat",TRUE
"E1805","Male",41,"cat",TRUE
"A143","Female",42,"cat",TRUE
"A265","Female",42,"cat",TRUE
"A281","Female",42,"cat",TRUE
"A34","Female",42,"cat",TRUE
"B409","Female",42,"cat",TRUE
"B416","Female",42,"cat",TRUE
"B529","Female",42,"cat",TRUE
"B659","Female",42,"cat",TRUE
"C1106","Female",42,"cat",TRUE
"C904","Female",42,"cat",TRUE
"D1293","Female",42,"cat",TRUE
"D1401","Female",42,"cat",TRUE
"E1896","Female",42,"cat",TRUE
"A14","Female",43,"cat",TRUE
"A19","Female",43,"cat",TRUE
"A25","Female",43,"cat",TRUE
"B568","Female",43,"cat",TRUE
"B698","Female",43,"cat",TRUE
"B705","Female",43,"cat",TRUE
"B728","Female",43,"cat",TRUE
"C1028","Female",43,"cat",TRUE
"D1326","Female",43,"cat",TRUE
"D1437","Female",43,"cat",TRUE
"D1442","Female",43,"cat",TRUE
"E1564","Female",43,"cat",TRUE
"E1665","Female",43,"cat",TRUE
"E1789","Female",43,"cat",TRUE
"E1860","Female",43,"cat",TRUE
"A126","Male",43,"cat",TRUE
"D1216","Male",43,"cat",TRUE
"D1219","Male",43,"cat",TRUE
"D1344","Male",43,"cat",TRUE
"D1351","Male",43,"cat",TRUE
"E1621","Male",43,"cat",TRUE
"E1694","Male",43,"cat",TRUE
"E1780","Male",43,"cat",TRUE
"A275","Female",44,"cat",TRUE
"A361","Female",44,"cat",TRUE
"B527","Female",44,"cat",TRUE
"D1251","Female",44,"cat",TRUE
"D1331","Female",44,"cat",TRUE
"E1532","Female",44,"cat",TRUE
"E1579","Female",44,"cat",TRUE
"E1704","Female",44,"cat",TRUE
"E1759","Female",44,"cat",TRUE
"A111","Male",44,"cat",TRUE
"A218","Male",44,"cat",TRUE
"A301","Male",44,"cat",TRUE
"A345","Male",44,"cat",TRUE
"A7","Male",44,"cat",TRUE
"B414","Male",44,"cat",TRUE
"A117","Female",45,"cat",TRUE
"A32","Female",45,"cat",TRUE
"A342","Female",45,"cat",TRUE
"C782","Female",45,"cat",TRUE
"C789","Female",45,"cat",TRUE
"C935","Female",45,"cat",TRUE
"D1259","Female",45,"cat",TRUE
"E1540","Female",45,"cat",TRUE
"E1668","Female",45,"cat",TRUE
"E1675","Female",45,"cat",TRUE
"E1712","Female",45,"cat",TRUE
"A223","Female",46,"cat",TRUE
"A231","Female",46,"cat",TRUE
"A297","Female",46,"cat",TRUE
"A90","Female",46,"cat",TRUE
"B508","Female",46,"cat",TRUE
"B524","Female",46,"cat",TRUE
"B684","Female",46,"cat",TRUE
"C1058","Female",46,"cat",TRUE
"C927","Female",46,"cat",TRUE
"D1137","Female",46,"cat",TRUE
"D1379","Female",46,"cat",TRUE
"E1601","Female",46,"cat",TRUE
"A234","Male",46,"cat",TRUE
"A250","Male",46,"cat",TRUE
"A310","Male",46,"cat",TRUE
"C1050","Male",46,"cat",TRUE
"D1231","Male",46,"cat",TRUE
"B402","Female",47,"cat",TRUE
"B417","Female",47,"cat",TRUE
"B620","Female",47,"cat",TRUE
"B645","Female",47,"cat",TRUE
"B649","Female",47,"cat",TRUE
"C1046","Female",47,"cat",TRUE
"C1057","Female",47,"cat",TRUE
"C764","Female",47,"cat",TRUE
"C870","Female",47,"cat",TRUE
"C941","Female",47,"cat",TRUE
"E1640","Female",47,"cat",TRUE
"E1784","Female",47,"cat",TRUE
"E1794","Female",47,"cat",TRUE
"A295","Male",47,"cat",TRUE
"B495","Male",47,"cat",TRUE
"B612","Male",47,"cat",TRUE
"E1560","Male",47,"cat",TRUE
"E1703","Male",47,"cat",TRUE
"A105","Female",48,"cat",TRUE
"A194","Female",48,"cat",TRUE
"A325","Female",48,"cat",TRUE
"B392","Female",48,"cat",TRUE
"B591","Female",48,"cat",TRUE
"C1025","Female",48,"cat",TRUE
"C756","Female",48,"cat",TRUE
"C822","Female",48,"cat",TRUE
"D1220","Female",48,"cat",TRUE
"D1450","Female",48,"cat",TRUE
"E1714","Female",48,"cat",TRUE
"A157","Female",49,"cat",TRUE
"A261","Female",49,"cat",TRUE
"A353","Female",49,"cat",TRUE
"B418","Female",49,"cat",TRUE
"D1330","Female",49,"cat",TRUE
"D1376","Female",49,"cat",TRUE
"D1381","Female",49,"cat",TRUE
"D1481","Female",49,"cat",TRUE
"E1555","Female",49,"cat",TRUE
"E1578","Female",49,"cat",TRUE
"E1655","Female",49,"cat",TRUE
"E1773","Female",49,"cat",TRUE
"D1277","Male",49,"cat",TRUE
"A220","Female",50,"cat",TRUE
"A347","Female",50,"cat",TRUE
"B380","Female",50,"cat",TRUE
"B709","Female",50,"cat",TRUE
"C838","Female",50,"cat",TRUE
"C987","Female",50,"cat",TRUE
"D1414","Female",50,"cat",TRUE
"B633","Male",50,"cat",TRUE
"B740","Male",50,"cat",TRUE
"C796","Male",50,"cat",TRUE
"D1404","Male",50,"cat",TRUE
"E1816","Male",50,"cat",TRUE
"B575","Female",51,"cat",TRUE
"C1107","Female",51,"cat",TRUE
"C909","Female",51,"cat",TRUE
"D1358","Female",51,"cat",TRUE
"D1483","Female",51,"cat",TRUE
"E1539","Female",51,"cat",TRUE
"E1548","Female",51,"cat",TRUE
"E1753","Female",51,"cat",TRUE
"E1836","Female",51,"cat",TRUE
"E1869","Female",51,"cat",TRUE
"A49","Male",51,"cat",TRUE
