"participant","trialNumber","cue","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","partic.gender","phase","partic.age"
"s1002",27,"spatial",FALSE,TRUE,"rikwan","female","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female","test",54
"s1002",28,"spatial",FALSE,TRUE,"fenrul","male_side","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenwan","Female","test",54
"s1002",29,"spatial",FALSE,TRUE,"pelrul","male_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","test",54
"s1002",30,"spatial",FALSE,TRUE,"pelwan","female","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelrul","Female","test",54
"s1002",31,"spatial",TRUE,TRUE,"rikrul","female_side","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female","test",54
"s1002",32,"spatial",TRUE,FALSE,"rilwan","male","bear_large_male","ril","bear_dimin","rilwan","rilrul","rilwan","Female","test",54
"s1002",33,"spatial",TRUE,FALSE,"fekrul","female_side","bokchoy_large","fek","bokchoy_dimin","fekwan","fekrul","fekrul","Female","test",54
"s1002",34,"spatial",FALSE,TRUE,"tasrul","male_side","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female","test",54
"s1002",35,"spatial",TRUE,TRUE,"tasrul","female_side","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","test",54
"s1002",36,"spatial",FALSE,FALSE,"fisrul","male_side","bokchoy_large","fis","bokchoy_dimin","fiswan","fisrul","fiswan","Female","test",54
"s1002",37,"spatial",FALSE,TRUE,"fenwan","female","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenrul","Female","test",54
"s1002",38,"spatial",TRUE,FALSE,"wukrul","female_side","mushroom_large","wuk","mushroom_dimin","wukwan","wukrul","wukrul","Female","test",54
"s1002",39,"spatial",FALSE,FALSE,"wukrul","male_side","mushroom_large","wuk","mushroom_dimin","wukwan","wukrul","wukwan","Female","test",54
"s1002",40,"spatial",FALSE,FALSE,"falrul","male_side","pitcher_large","fal","pitcher_dimin","falwan","falrul","falwan","Female","test",54
"s1002",41,"spatial",TRUE,FALSE,"wunrul","female_side","chair_large","wun","chair_dimin","wunwan","wunrul","wunrul","Female","test",54
"s1002",42,"spatial",TRUE,TRUE,"fenwan","male","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenwan","Female","test",54
"s1002",43,"spatial",TRUE,TRUE,"tosrul","female_side","chair_large","tos","chair_dimin","toswan","tosrul","tosrul","Female","test",54
"s1002",44,"spatial",FALSE,FALSE,"wukwan","female","mushroom_large","wuk","mushroom_dimin","wukwan","wukrul","wukrul","Female","test",54
"s1002",45,"spatial",TRUE,FALSE,"wunwan","female","chair_large","wun","chair_dimin","wunwan","wunrul","wunwan","Female","test",54
"s1002",46,"spatial",FALSE,FALSE,"fekrul","male_side","bokchoy_large","fek","bokchoy_dimin","fekwan","fekrul","fekwan","Female","test",54
