"participant","peerCondition","regLevel","verbStatus","phase","gender","age","attentionRating","otherPlayerReasonable","postReg.mean","verbStatus2"
"p435","bot","high","REAL","postTest","Male",30,4,3,0.55,"REAL"
"p436","bot","high","REAL","postTest","Female",40,4,4,0.3,"REAL"
"p437","bot","high","REAL","postTest","Male",31,5,4,0.25,"REAL"
"p438","bot","low","REAL","postTest","Male",27,5,3,0.1,"REAL"
"p439","bot","high","REAL","postTest","Female",53,4,4,0.45,"REAL"
"p44","human","high","REAL","postTest","Male",58,4,4,0.4,"REAL"
"p440","bot","high","REAL","postTest","Male",28,4,4,0.35,"REAL"
"p441","bot","low","REAL","postTest","Male",49,1,3,0.8,"REAL"
"p442","bot","low","REAL","postTest","Male",24,4,4,0.25,"REAL"
"p444","bot","low","REAL","postTest","Female",32,3,3,0.35,"REAL"
"p445","bot","low","REAL","postTest","Male",25,4,4,0.1,"REAL"
"p446","bot","high","REAL","postTest","Male",39,5,2,0.45,"REAL"
"p447","bot","high","REAL","postTest","Male",28,4,4,0.2,"REAL"
"p448","bot","low","REAL","postTest","Male",49,1,4,0.4,"REAL"
"p449","bot","low","REAL","postTest","Male",30,2,4,0.35,"REAL"
"p45","human","high","REAL","postTest","Female",62,3,5,0.55,"REAL"
"p450","bot","high","REAL","postTest","Male",24,4,3,0.35,"REAL"
"p451","bot","low","REAL","postTest","Female",33,4,4,0.35,"REAL"
"p452","bot","low","REAL","postTest","Male",37,4,4,0.25,"REAL"
"p454","bot","high","REAL","postTest","Male",36,4,3,0.4,"REAL"
"p455","bot","high","REAL","postTest","Male",74,3,4,0.45,"REAL"
"p456","bot","low","REAL","postTest","Female",32,4,5,0.3,"REAL"
"p457","bot","high","REAL","postTest","Female",32,4,5,0.55,"REAL"
"p458","bot","high","REAL","postTest","Male",37,3,4,0.4,"REAL"
"p459","bot","low","REAL","postTest","Female",33,4,5,0.45,"REAL"
"p46","human","high","REAL","postTest","Female",54,4,5,0.4,"REAL"
"p460","bot","low","REAL","postTest","Female",67,4,3,0.4,"REAL"
"p461","bot","low","REAL","postTest","Female",30,4,4,0.35,"REAL"
"p462","bot","high","REAL","postTest","Female",62,5,4,1,"REAL"
"p463","bot","low","REAL","postTest","Female",32,4,5,0.5,"REAL"
"p464","bot","high","REAL","postTest","Female",21,2,3,0.45,"REAL"
