"subject","trialNumber","condition","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1002",41,"nonsocial",TRUE,FALSE,"wunrul","female_side","chair_large","wun","chair_dimin","wunwan","wunrul","wunrul","Female",55,"test"
"s1002",42,"nonsocial",TRUE,TRUE,"fenwan","male","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenwan","Female",55,"test"
"s1002",43,"nonsocial",TRUE,TRUE,"tosrul","female_side","chair_large","tos","chair_dimin","toswan","tosrul","tosrul","Female",55,"test"
"s1002",44,"nonsocial",FALSE,FALSE,"wukwan","female","mushroom_large","wuk","mushroom_dimin","wukwan","wukrul","wukrul","Female",55,"test"
"s1002",45,"nonsocial",TRUE,FALSE,"wunwan","female","chair_large","wun","chair_dimin","wunwan","wunrul","wunwan","Female",55,"test"
"s1002",46,"nonsocial",FALSE,FALSE,"fekrul","male_side","bokchoy_large","fek","bokchoy_dimin","fekwan","fekrul","fekwan","Female",55,"test"
"s1002",47,"nonsocial",TRUE,TRUE,"toswan","male","chair_large","tos","chair_dimin","toswan","tosrul","toswan","Female",55,"test"
"s1002",48,"nonsocial",FALSE,TRUE,"rikrul","male_side","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikwan","Female",55,"test"
"s1003",1,"nonsocial",TRUE,FALSE,"fiswan","female","chair_large","fis","chair_dimin","fiswan","fispel","fiswan","Female",26,"test"
"s1003",2,"nonsocial",FALSE,TRUE,"rikpel","male_side","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikwan","Female",26,"test"
"s1003",3,"nonsocial",TRUE,FALSE,"wunpel","male_side","gate_large","wun","gate_dimin","wunwan","wunpel","wunpel","Female",26,"test"
"s1003",4,"nonsocial",TRUE,FALSE,"toswan","male","bokchoy_large","tos","bokchoy_dimin","toswan","tospel","toswan","Female",26,"test"
"s1003",5,"nonsocial",FALSE,TRUE,"fenpel","female_side","bokchoy_large","fen","bokchoy_dimin","fenwan","fenpel","fenwan","Female",26,"test"
"s1003",6,"nonsocial",FALSE,TRUE,"fekwan","male","pitcher_large","fek","pitcher_dimin","fekwan","fekpel","fekpel","Female",26,"test"
"s1003",7,"nonsocial",FALSE,FALSE,"tospel","female_side","bokchoy_large","tos","bokchoy_dimin","toswan","tospel","toswan","Female",26,"test"
"s1003",8,"nonsocial",FALSE,TRUE,"rikwan","male","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikpel","Female",26,"test"
"s1003",9,"nonsocial",TRUE,TRUE,"taswan","male","fox_large_male","tas","fox_dimin","taswan","taspel","taswan","Female",26,"test"
"s1003",10,"nonsocial",TRUE,TRUE,"fenpel","male_side","bokchoy_large","fen","bokchoy_dimin","fenwan","fenpel","fenpel","Female",26,"test"
