"gender"	"yearOfBirth"	"phase"	"weak.past"	"strong.past"	"category"	"sensibility"	"partnerRegRate"	"partnerRegCondition"	"item.reg.mean"	"response"	"regular"	"participant"	"age"
"Female"	1983	"pretest"	"thided"	"thode"	"drove"	"sensible"	0.481	"no.change"	0.436	"thided"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"sminked"	"smank"	"sang"	"sensible"	0.481	"no.change"	0.579	"sminked"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"shreeped"	"shrept"	"kept"	"sensible"	0.481	"no.change"	0.46	"shrept"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"fided"	"fode"	"drove"	"sensible"	0.481	"no.change"	0.485	"fode"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"shreened"	"shrent"	"kept"	"sensible"	0.481	"no.change"	0.693	"shreened"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"ninked"	"nank"	"sang"	"sensible"	0.481	"no.change"	0.647	"nank"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"dweeped"	"dwept"	"kept"	"sensible"	0.481	"no.change"	0.426	"dweeped"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"dwided"	"dwode"	"drove"	"sensible"	0.481	"no.change"	0.416	"dwided"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"schmined"	"schmone"	"drove"	"sensible"	0.481	"no.change"	0.703	"schmone"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"vrinked"	"vrank"	"sang"	"sensible"	0.481	"no.change"	0.515	"vrank"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"swided"	"swode"	"drove"	"sensible"	0.481	"no.change"	0.356	"swode"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"fleeled"	"flelt"	"kept"	"sensible"	0.481	"no.change"	0.525	"flelt"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"quinged"	"quang"	"sang"	"sensible"	0.481	"no.change"	0.53	"quinged"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"neemed"	"nemt"	"kept"	"sensible"	0.481	"no.change"	0.658	"neemed"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"jurned"	"jurnt"	"burnt"	"sensible"	0.481	"no.change"	0.718	"jurned"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"slilled"	"slilt"	"burnt"	"sensible"	0.481	"no.change"	0.693	"slilled"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"breeped"	"brept"	"kept"	"sensible"	0.481	"no.change"	0.55	"breeped"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"dwinged"	"dwang"	"sang"	"sensible"	0.481	"no.change"	0.485	"dwinged"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"brived"	"brove"	"drove"	"sensible"	0.481	"no.change"	0.391	"brived"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"streened"	"strent"	"kept"	"sensible"	0.481	"no.change"	0.718	"streened"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"zited"	"zote"	"drove"	"sensible"	0.481	"no.change"	0.54	"zote"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"skeeped"	"skept"	"kept"	"sensible"	0.481	"no.change"	0.485	"skept"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"kleeled"	"klelt"	"kept"	"sensible"	0.481	"no.change"	0.554	"klelt"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"sprurned"	"sprurnt"	"burnt"	"sensible"	0.481	"no.change"	0.688	"sprurned"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"spreemed"	"spremt"	"kept"	"sensible"	0.481	"no.change"	0.639	"spreemed"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"swited"	"swote"	"drove"	"sensible"	0.481	"no.change"	0.46	"swote"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"skrilled"	"skrilt"	"burnt"	"sensible"	0.481	"no.change"	0.733	"skrilled"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"chimmed"	"cham"	"sang"	"sensible"	0.481	"no.change"	0.743	"chimmed"	TRUE	"s6024"	31
