"participant","trialNumber","cue","correct","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","partic.gender","phase","partic.age"
"s1002",5,"spatial",FALSE,"pelrul","female_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","training",54
"s1002",6,"spatial",TRUE,"fenwan","male","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenwan","Female","training",54
"s1002",7,"spatial",TRUE,"pelrul","female_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelrul","Female","training",54
"s1002",8,"spatial",FALSE,"tosrul","female_side","chair_large","tos","chair_dimin","toswan","tosrul","toswan","Female","training",54
"s1002",9,"spatial",FALSE,"pelrul","female_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","training",54
"s1002",10,"spatial",FALSE,"fenwan","male","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenrul","Female","training",54
"s1002",11,"spatial",TRUE,"rikrul","male_side","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female","training",54
"s1002",12,"spatial",FALSE,"fenwan","male","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenrul","Female","training",54
"s1002",13,"spatial",TRUE,"rikrul","male_side","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female","training",54
"s1002",14,"spatial",FALSE,"fenwan","male","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenrul","Female","training",54
"s1002",15,"spatial",TRUE,"rikrul","male_side","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female","training",54
"s1002",16,"spatial",TRUE,"fenwan","male","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenwan","Female","training",54
"s1002",17,"spatial",TRUE,"pelrul","female_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelrul","Female","training",54
"s1002",18,"spatial",FALSE,"tosrul","female_side","chair_large","tos","chair_dimin","toswan","tosrul","toswan","Female","training",54
"s1002",19,"spatial",FALSE,"pelrul","female_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","training",54
"s1002",20,"spatial",FALSE,"fenwan","male","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenrul","Female","training",54
"s1002",21,"spatial",TRUE,"rikrul","male_side","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female","training",54
"s1002",22,"spatial",TRUE,"fenwan","male","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenwan","Female","training",54
"s1002",23,"spatial",TRUE,"pelrul","female_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelrul","Female","training",54
"s1002",24,"spatial",TRUE,"tosrul","female_side","chair_large","tos","chair_dimin","toswan","tosrul","tosrul","Female","training",54
"s1002",25,"spatial",FALSE,"pelrul","male_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","training",54
"s1002",26,"spatial",TRUE,"tosrul","female_side","chair_large","tos","chair_dimin","toswan","tosrul","tosrul","Female","training",54
"s1002",27,"spatial",TRUE,"pelrul","male_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelrul","Female","training",54
"s1002",28,"spatial",TRUE,"tosrul","male_side","chair_large","tos","chair_dimin","toswan","tosrul","tosrul","Female","training",54
"s1002",29,"spatial",TRUE,"tolwan","male","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolwan","Female","training",54
"s1002",30,"spatial",TRUE,"fenwan","female","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenwan","Female","training",54
"s1002",31,"spatial",TRUE,"taswan","female","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female","training",54
"s1002",32,"spatial",FALSE,"fenrul","male_side","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenwan","Female","training",54
"s1002",33,"spatial",TRUE,"taswan","female","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female","training",54
"s1002",34,"spatial",TRUE,"fenrul","male_side","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenrul","Female","training",54
"s1002",35,"spatial",TRUE,"tolrul","male_side","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolrul","Female","training",54
"s1002",36,"spatial",TRUE,"fenrul","female_side","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenrul","Female","training",54
"s1002",37,"spatial",TRUE,"pelwan","female","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","training",54
"s1002",38,"spatial",FALSE,"tolwan","female","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolrul","Female","training",54
"s1002",39,"spatial",TRUE,"pelwan","female","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","training",54
"s1002",40,"spatial",FALSE,"tolwan","female","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolrul","Female","training",54
"s1002",41,"spatial",TRUE,"pelwan","female","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","training",54
"s1002",42,"spatial",TRUE,"tolwan","female","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolwan","Female","training",54
"s1002",43,"spatial",FALSE,"tasrul","male_side","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female","training",54
"s1002",44,"spatial",TRUE,"tolwan","female","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolwan","Female","training",54
"s1002",45,"spatial",TRUE,"tasrul","male_side","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","training",54
"s1002",46,"spatial",FALSE,"taswan","male","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","training",54
"s1002",47,"spatial",TRUE,"tasrul","male_side","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","training",54
"s1002",48,"spatial",FALSE,"taswan","male","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","training",54
"s1002",49,"spatial",TRUE,"tasrul","male_side","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","training",54
"s1002",50,"spatial",FALSE,"taswan","male","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","training",54
"s1002",51,"spatial",FALSE,"tasrul","male_side","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female","training",54
"s1002",52,"spatial",TRUE,"tolwan","female","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolwan","Female","training",54
"s1002",53,"spatial",FALSE,"tasrul","male_side","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female","training",54
