"gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular","participant"
"Male",1985,"pretest","brurned","brurnt","burnt","sensible",0.269,"decrease",0.554,"brurnt",FALSE,"s6111"
"Male",1985,"posttest","dweeped","dwept","kept","sensible",0.269,"decrease",0.426,"dwept",FALSE,"s6111"
"Male",1985,"pretest","threlled","threlt","burnt","sensible",0.269,"decrease",0.653,"threlt",FALSE,"s6111"
"Male",1985,"posttest","skrinked","skrank","sang","sensible",0.269,"decrease",0.45,"skrank",FALSE,"s6111"
"Male",1985,"pretest","strited","strote","drove","sensible",0.269,"decrease",0.426,"strote",FALSE,"s6111"
"Male",1985,"posttest","snined","snone","drove","sensible",0.269,"decrease",0.644,"snone",FALSE,"s6111"
"Male",1985,"pretest","schmined","schmone","drove","sensible",0.269,"decrease",0.703,"schmined",TRUE,"s6111"
"Male",1985,"posttest","streened","strent","kept","sensible",0.269,"decrease",0.718,"strent",FALSE,"s6111"
"Male",1985,"pretest","jeemed","jemt","kept","sensible",0.269,"decrease",0.723,"jeemed",TRUE,"s6111"
"Male",1985,"posttest","vrinked","vrank","sang","sensible",0.269,"decrease",0.515,"vrank",FALSE,"s6111"
"Male",1985,"pretest","slined","slone","drove","sensible",0.269,"decrease",0.614,"slone",FALSE,"s6111"
"Male",1985,"posttest","squined","squone","drove","sensible",0.269,"decrease",0.678,"squined",TRUE,"s6111"
"Male",1985,"pretest","prurned","prurnt","burnt","sensible",0.269,"decrease",0.688,"prurnt",FALSE,"s6111"
"Male",1985,"pretest","thrimmed","thram","sang","sensible",0.269,"decrease",0.683,"thrimmed",TRUE,"s6111"
"Male",1985,"posttest","fleeled","flelt","kept","sensible",0.269,"decrease",0.525,"flelt",FALSE,"s6111"
"Male",1985,"pretest","vrilled","vrilt","burnt","sensible",0.269,"decrease",0.772,"vrilled",TRUE,"s6111"
"Male",1985,"pretest","sneemed","snemt","kept","sensible",0.269,"decrease",0.713,"sneemed",TRUE,"s6111"
"Male",1985,"posttest","surned","surnt","burnt","sensible",0.269,"decrease",0.698,"surned",TRUE,"s6111"
"Male",1985,"posttest","shreened","shrent","kept","sensible",0.269,"decrease",0.693,"shrent",FALSE,"s6111"
"Male",1985,"posttest","skrurned","skrurnt","burnt","sensible",0.269,"decrease",0.668,"skrurnt",FALSE,"s6111"
"Male",1985,"posttest","vinked","vank","sang","sensible",0.269,"decrease",0.624,"vinked",TRUE,"s6111"
"Male",1985,"posttest","trurned","trurnt","burnt","sensible",0.269,"decrease",0.718,"trurnt",FALSE,"s6111"
"Male",1985,"posttest","dwinged","dwang","sang","sensible",0.269,"decrease",0.485,"dwang",FALSE,"s6111"
"Male",1985,"posttest","fimmed","fam","sang","sensible",0.269,"decrease",0.772,"fam",FALSE,"s6111"
"Male",1985,"posttest","prilled","prilt","burnt","sensible",0.269,"decrease",0.713,"prilled",TRUE,"s6111"
"Male",1985,"posttest","cheemed","chemt","kept","sensible",0.269,"decrease",0.733,"cheemed",TRUE,"s6111"
"Male",1985,"posttest","skelled","skelt","burnt","sensible",0.269,"decrease",0.584,"skelt",FALSE,"s6111"
"Male",1985,"posttest","slilled","slilt","burnt","sensible",0.269,"decrease",0.693,"slilt",FALSE,"s6111"
"Male",1985,"posttest","skeeped","skept","kept","sensible",0.269,"decrease",0.485,"skept",FALSE,"s6111"
"Male",1985,"posttest","dwilled","dwilt","burnt","sensible",0.269,"decrease",0.673,"dwilt",FALSE,"s6111"
"Male",1985,"posttest","sminked","smank","sang","sensible",0.269,"decrease",0.579,"sminked",TRUE,"s6111"
"Male",1985,"posttest","sprurned","sprurnt","burnt","sensible",0.269,"decrease",0.688,"sprurned",TRUE,"s6111"
"Male",1985,"posttest","sleeled","slelt","kept","sensible",0.269,"decrease",0.55,"slelt",FALSE,"s6111"
"Male",1985,"posttest","thided","thode","drove","sensible",0.269,"decrease",0.436,"thided",TRUE,"s6111"
"Male",1985,"posttest","gimmed","gam","sang","sensible",0.269,"decrease",0.728,"gimmed",TRUE,"s6111"
"Male",1985,"posttest","fided","fode","drove","sensible",0.269,"decrease",0.485,"fode",FALSE,"s6111"
"Male",1985,"posttest","zelled","zelt","burnt","sensible",0.269,"decrease",0.639,"zelt",FALSE,"s6111"
"Male",1985,"posttest","grinked","grank","sang","sensible",0.269,"decrease",0.47,"grank",FALSE,"s6111"
"Male",1985,"posttest","shrided","shrode","drove","sensible",0.269,"decrease",0.376,"shrode",FALSE,"s6111"
"Male",1985,"posttest","kleeled","klelt","kept","sensible",0.269,"decrease",0.554,"klelt",FALSE,"s6111"
"Male",1985,"posttest","spreemed","spremt","kept","sensible",0.269,"decrease",0.639,"spremt",FALSE,"s6111"
"Male",1985,"posttest","swited","swote","drove","sensible",0.269,"decrease",0.46,"swote",FALSE,"s6111"
"Male",1985,"posttest","snited","snote","drove","sensible",0.269,"decrease",0.53,"snote",FALSE,"s6111"
"Male",1985,"posttest","murned","murnt","burnt","sensible",0.269,"decrease",0.723,"murned",TRUE,"s6111"
"Male",1985,"posttest","skrined","skrone","drove","sensible",0.269,"decrease",0.599,"skrined",TRUE,"s6111"
"Male",1985,"posttest","greemed","gremt","kept","sensible",0.269,"decrease",0.629,"greemed",TRUE,"s6111"
"Male",1985,"posttest","snurned","snurnt","burnt","sensible",0.269,"decrease",0.757,"snurnt",FALSE,"s6111"
