"subject"	"condition"	"correct"	"correctAnswer"	"subj.gender"	"interlocutor"	"phase"	"promptImage"	"promptName"	"selection"	"targetImage"	"targetWord1"	"targetWord2"	"subj.yob"	"subject.age"	"trialNumber"
"s1002"	"nonsocial"	TRUE	"tosrul"	"Female"	"female_side"	"test"	"chair_large"	"tos"	"tosrul"	"chair_dimin"	"toswan"	"tosrul"	1959	55	43
"s1002"	"nonsocial"	FALSE	"wukwan"	"Female"	"female"	"test"	"mushroom_large"	"wuk"	"wukrul"	"mushroom_dimin"	"wukwan"	"wukrul"	1959	55	44
"s1002"	"nonsocial"	TRUE	"wunwan"	"Female"	"female"	"test"	"chair_large"	"wun"	"wunwan"	"chair_dimin"	"wunwan"	"wunrul"	1959	55	45
"s1002"	"nonsocial"	FALSE	"fekrul"	"Female"	"male_side"	"test"	"bokchoy_large"	"fek"	"fekwan"	"bokchoy_dimin"	"fekwan"	"fekrul"	1959	55	46
"s1002"	"nonsocial"	TRUE	"toswan"	"Female"	"male"	"test"	"chair_large"	"tos"	"toswan"	"chair_dimin"	"toswan"	"tosrul"	1959	55	47
"s1002"	"nonsocial"	FALSE	"rikrul"	"Female"	"male_side"	"test"	"candleholder_large"	"rik"	"rikwan"	"candleholder_dimin"	"rikwan"	"rikrul"	1959	55	48
"s1003"	"nonsocial"	TRUE	"fiswan"	"Female"	"female"	"test"	"chair_large"	"fis"	"fiswan"	"chair_dimin"	"fiswan"	"fispel"	1988	26	1
"s1003"	"nonsocial"	FALSE	"rikpel"	"Female"	"male_side"	"test"	"bear_large_male"	"rik"	"rikwan"	"bear_dimin"	"rikwan"	"rikpel"	1988	26	2
"s1003"	"nonsocial"	TRUE	"wunpel"	"Female"	"male_side"	"test"	"gate_large"	"wun"	"wunpel"	"gate_dimin"	"wunwan"	"wunpel"	1988	26	3
"s1003"	"nonsocial"	TRUE	"toswan"	"Female"	"male"	"test"	"bokchoy_large"	"tos"	"toswan"	"bokchoy_dimin"	"toswan"	"tospel"	1988	26	4
