"subject","trialNumber","condition","correct","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1391",11,"linguistic",FALSE,"tekpek","female_side","bokchoy_large","tek","bokchoy_dimin","tekpek","tekpak","tekpak","Male",27,"training"
"s1391",12,"linguistic",TRUE,"fanpak","female","chair_large","fan","chair_dimin","fanpek","fanpak","fanpak","Male",27,"training"
"s1391",13,"linguistic",TRUE,"tekpek","female_side","bokchoy_large","tek","bokchoy_dimin","tekpek","tekpak","tekpek","Male",27,"training"
"s1391",14,"linguistic",TRUE,"falpak","male_side","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpak","Male",27,"training"
"s1391",15,"linguistic",TRUE,"fekpek","male","pitcher_large","fek","pitcher_dimin","fekpek","fekpak","fekpek","Male",27,"training"
"s1391",16,"linguistic",FALSE,"falpak","female","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpek","Male",27,"training"
"s1391",17,"linguistic",FALSE,"fekpek","male","pitcher_large","fek","pitcher_dimin","fekpek","fekpak","fekpak","Male",27,"training"
"s1391",18,"linguistic",FALSE,"falpak","male_side","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpek","Male",27,"training"
"s1391",19,"linguistic",FALSE,"tekpek","female_side","bokchoy_large","tek","bokchoy_dimin","tekpek","tekpak","tekpak","Male",27,"training"
"s1391",20,"linguistic",TRUE,"fanpak","female","chair_large","fan","chair_dimin","fanpek","fanpak","fanpak","Male",27,"training"
"s1391",21,"linguistic",TRUE,"tekpek","female_side","bokchoy_large","tek","bokchoy_dimin","tekpek","tekpak","tekpek","Male",27,"training"
"s1391",22,"linguistic",TRUE,"falpak","male_side","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpak","Male",27,"training"
"s1391",23,"linguistic",TRUE,"fekpek","male","pitcher_large","fek","pitcher_dimin","fekpek","fekpak","fekpek","Male",27,"training"
"s1391",24,"linguistic",TRUE,"falpak","female","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpak","Male",27,"training"
"s1391",25,"linguistic",FALSE,"fekpek","female","pitcher_large","fek","pitcher_dimin","fekpek","fekpak","fekpak","Male",27,"training"
"s1391",26,"linguistic",TRUE,"falpak","female","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpak","Male",27,"training"
"s1391",27,"linguistic",TRUE,"fekpek","female","pitcher_large","fek","pitcher_dimin","fekpek","fekpak","fekpek","Male",27,"training"
"s1391",28,"linguistic",TRUE,"fekpek","female_side","pitcher_large","fek","pitcher_dimin","fekpek","fekpak","fekpek","Male",27,"training"
"s1391",29,"linguistic",TRUE,"ranpak","male","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpak","Male",27,"training"
"s1391",30,"linguistic",TRUE,"rakpak","male_side","bear_large_male","rak","bear_dimin","rakpek","rakpak","rakpak","Male",27,"training"
"s1391",31,"linguistic",FALSE,"ranpak","female_side","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpek","Male",27,"training"
"s1391",32,"linguistic",FALSE,"rakpak","male_side","bear_large_male","rak","bear_dimin","rakpek","rakpak","rakpek","Male",27,"training"
"s1391",33,"linguistic",TRUE,"ranpak","male","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpak","Male",27,"training"
"s1391",34,"linguistic",TRUE,"rakpak","male_side","bear_large_male","rak","bear_dimin","rakpek","rakpak","rakpak","Male",27,"training"
"s1391",35,"linguistic",TRUE,"ranpak","female_side","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpak","Male",27,"training"
"s1391",36,"linguistic",FALSE,"ranpak","female","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpek","Male",27,"training"
"s1391",37,"linguistic",FALSE,"ranpak","female_side","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpek","Male",27,"training"
"s1391",38,"linguistic",FALSE,"rakpak","male_side","bear_large_male","rak","bear_dimin","rakpek","rakpak","rakpek","Male",27,"training"
"s1391",39,"linguistic",TRUE,"ranpak","male","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpak","Male",27,"training"
"s1391",40,"linguistic",TRUE,"rakpak","male_side","bear_large_male","rak","bear_dimin","rakpek","rakpak","rakpak","Male",27,"training"
"s1391",41,"linguistic",TRUE,"ranpak","female_side","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpak","Male",27,"training"
"s1391",42,"linguistic",FALSE,"ranpak","female","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpek","Male",27,"training"
"s1391",43,"linguistic",TRUE,"ranpak","female_side","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpak","Male",27,"training"
"s1391",44,"linguistic",TRUE,"ranpak","female","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpak","Male",27,"training"
"s1391",45,"linguistic",TRUE,"tekpek","male","bokchoy_large","tek","bokchoy_dimin","tekpek","tekpak","tekpek","Male",27,"training"
"s1391",46,"linguistic",FALSE,"fanpak","male_side","chair_large","fan","chair_dimin","fanpek","fanpak","fanpek","Male",27,"training"
"s1391",47,"linguistic",TRUE,"tekpek","male","bokchoy_large","tek","bokchoy_dimin","tekpek","tekpak","tekpek","Male",27,"training"
"s1391",48,"linguistic",FALSE,"fanpak","male_side","chair_large","fan","chair_dimin","fanpek","fanpak","fanpek","Male",27,"training"
"s1391",49,"linguistic",TRUE,"tekpek","male","bokchoy_large","tek","bokchoy_dimin","tekpek","tekpak","tekpek","Male",27,"training"
"s1391",50,"linguistic",TRUE,"fanpak","male_side","chair_large","fan","chair_dimin","fanpek","fanpak","fanpak","Male",27,"training"
"s1391",51,"linguistic",TRUE,"tekpek","female","bokchoy_large","tek","bokchoy_dimin","tekpek","tekpak","tekpek","Male",27,"training"
"s1391",52,"linguistic",TRUE,"fekpek","male_side","pitcher_large","fek","pitcher_dimin","fekpek","fekpak","fekpek","Male",27,"training"
"s1391",53,"linguistic",FALSE,"fanpak","female_side","chair_large","fan","chair_dimin","fanpek","fanpak","fanpek","Male",27,"training"
"s1391",54,"linguistic",TRUE,"fekpek","male_side","pitcher_large","fek","pitcher_dimin","fekpek","fekpak","fekpek","Male",27,"training"
"s1391",55,"linguistic",TRUE,"fanpak","female_side","chair_large","fan","chair_dimin","fanpek","fanpak","fanpak","Male",27,"training"
"s1391",56,"linguistic",FALSE,"falpak","male","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpek","Male",27,"training"
"s1391",57,"linguistic",TRUE,"fanpak","female_side","chair_large","fan","chair_dimin","fanpek","fanpak","fanpak","Male",27,"training"
"s1391",58,"linguistic",TRUE,"falpak","male","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpak","Male",27,"training"
"s1391",59,"linguistic",FALSE,"ranpak","male_side","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpek","Male",27,"training"
"s1391",60,"linguistic",TRUE,"falpak","male","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpak","Male",27,"training"
"s1391",61,"linguistic",TRUE,"ranpak","male_side","fox_large_male","ran","fox_dimin","ranpek","ranpak","ranpak","Male",27,"training"
"s1391",62,"linguistic",FALSE,"falpak","female_side","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpek","Male",27,"training"
