participant,gender,yearOfBirth,phase,weak.past,strong.past,category,partner.prefs,partnerRegRate,partnerRegCondition,item.baseline.reg,response,regular,pretest.mean,age
s6024,Female,1983,pretest,skrinked,skrank,sang,match.baseline,0.481,no.change,0.45,skrinked,TRUE,0.480769231,32
s6024,Female,1983,pretest,thided,thode,drove,match.baseline,0.481,no.change,0.436,thided,TRUE,0.480769231,32
s6024,Female,1983,pretest,sminked,smank,sang,match.baseline,0.481,no.change,0.579,sminked,TRUE,0.480769231,32
s6024,Female,1983,posttest,shreeped,shrept,kept,match.baseline,0.481,no.change,0.46,shrept,FALSE,0.480769231,32
s6024,Female,1983,pretest,fided,fode,drove,match.baseline,0.481,no.change,0.485,fode,FALSE,0.480769231,32
s6024,Female,1983,pretest,shreened,shrent,kept,match.baseline,0.481,no.change,0.693,shreened,TRUE,0.480769231,32
s6024,Female,1983,posttest,ninked,nank,sang,match.baseline,0.481,no.change,0.647,nank,FALSE,0.480769231,32
s6024,Female,1983,pretest,dweeped,dwept,kept,match.baseline,0.481,no.change,0.426,dweeped,TRUE,0.480769231,32
s6024,Female,1983,pretest,dwided,dwode,drove,match.baseline,0.481,no.change,0.416,dwided,TRUE,0.480769231,32
s6024,Female,1983,posttest,schmined,schmone,drove,match.baseline,0.481,no.change,0.703,schmone,FALSE,0.480769231,32
s6024,Female,1983,pretest,vrinked,vrank,sang,match.baseline,0.481,no.change,0.515,vrank,FALSE,0.480769231,32
s6024,Female,1983,posttest,swided,swode,drove,match.baseline,0.481,no.change,0.356,swode,FALSE,0.480769231,32
s6024,Female,1983,pretest,fleeled,flelt,kept,match.baseline,0.481,no.change,0.525,flelt,FALSE,0.480769231,32
s6024,Female,1983,pretest,quinged,quang,sang,match.baseline,0.481,no.change,0.53,quinged,TRUE,0.480769231,32
s6024,Female,1983,posttest,neemed,nemt,kept,match.baseline,0.481,no.change,0.658,neemed,TRUE,0.480769231,32
s6024,Female,1983,posttest,jurned,jurnt,burnt,match.baseline,0.481,no.change,0.718,jurned,TRUE,0.480769231,32
s6024,Female,1983,pretest,slilled,slilt,burnt,match.baseline,0.481,no.change,0.693,slilled,TRUE,0.480769231,32
s6024,Female,1983,posttest,breeped,brept,kept,match.baseline,0.481,no.change,0.55,breeped,TRUE,0.480769231,32
s6024,Female,1983,pretest,dwinged,dwang,sang,match.baseline,0.481,no.change,0.485,dwinged,TRUE,0.480769231,32
s6024,Female,1983,posttest,brived,brove,drove,match.baseline,0.481,no.change,0.391,brived,TRUE,0.480769231,32
s6024,Female,1983,pretest,streened,strent,kept,match.baseline,0.481,no.change,0.718,streened,TRUE,0.480769231,32
s6024,Female,1983,posttest,zited,zote,drove,match.baseline,0.481,no.change,0.54,zote,FALSE,0.480769231,32
s6024,Female,1983,pretest,skeeped,skept,kept,match.baseline,0.481,no.change,0.485,skept,FALSE,0.480769231,32
s6024,Female,1983,pretest,kleeled,klelt,kept,match.baseline,0.481,no.change,0.554,klelt,FALSE,0.480769231,32
s6024,Female,1983,pretest,sprurned,sprurnt,burnt,match.baseline,0.481,no.change,0.688,sprurned,TRUE,0.480769231,32
s6024,Female,1983,pretest,spreemed,spremt,kept,match.baseline,0.481,no.change,0.639,spreemed,TRUE,0.480769231,32
s6024,Female,1983,pretest,swited,swote,drove,match.baseline,0.481,no.change,0.46,swote,FALSE,0.480769231,32
s6024,Female,1983,posttest,skrilled,skrilt,burnt,match.baseline,0.481,no.change,0.733,skrilled,TRUE,0.480769231,32
s6024,Female,1983,posttest,chimmed,cham,sang,match.baseline,0.481,no.change,0.743,chimmed,TRUE,0.480769231,32
s6024,Female,1983,posttest,jeemed,jemt,kept,match.baseline,0.481,no.change,0.723,jeemed,TRUE,0.480769231,32
s6024,Female,1983,pretest,preemed,premt,kept,match.baseline,0.481,no.change,0.678,premt,FALSE,0.480769231,32
s6024,Female,1983,pretest,strinked,strank,sang,match.baseline,0.481,no.change,0.416,strank,FALSE,0.480769231,32
s6024,Female,1983,posttest,thrimmed,thram,sang,match.baseline,0.481,no.change,0.683,thrimmed,TRUE,0.480769231,32
s6024,Female,1983,pretest,gimmed,gam,sang,match.baseline,0.481,no.change,0.728,gam,FALSE,0.480769231,32
s6024,Female,1983,pretest,prilled,prilt,burnt,match.baseline,0.481,no.change,0.713,prilled,TRUE,0.480769231,32
s6024,Female,1983,posttest,swurned,swurnt,burnt,match.baseline,0.481,no.change,0.723,swurnt,FALSE,0.480769231,32
s6024,Female,1983,pretest,dwilled,dwilt,burnt,match.baseline,0.481,no.change,0.673,dwilled,TRUE,0.480769231,32
s6024,Female,1983,posttest,theeped,thept,kept,match.baseline,0.481,no.change,0.416,thept,FALSE,0.480769231,32
s6024,Female,1983,pretest,vinked,vank,sang,match.baseline,0.481,no.change,0.624,vank,FALSE,0.480769231,32
s6024,Female,1983,posttest,threlled,threlt,burnt,match.baseline,0.481,no.change,0.653,threlt,FALSE,0.480769231,32
s6024,Female,1983,posttest,strited,strote,drove,match.baseline,0.481,no.change,0.426,strited,TRUE,0.480769231,32
s6024,Female,1983,pretest,splinged,splang,sang,match.baseline,0.481,no.change,0.401,splinged,TRUE,0.480769231,32
s6024,Female,1983,posttest,vurned,vurnt,burnt,match.baseline,0.481,no.change,0.668,vurned,TRUE,0.480769231,32
s6024,Female,1983,posttest,klited,klote,drove,match.baseline,0.481,no.change,0.554,klote,FALSE,0.480769231,32
s6024,Female,1983,pretest,greemed,gremt,kept,match.baseline,0.481,no.change,0.629,gremt,FALSE,0.480769231,32
s6024,Female,1983,posttest,pleeled,plelt,kept,match.baseline,0.481,no.change,0.574,pleeled,TRUE,0.480769231,32
s6024,Female,1983,pretest,skrined,skrone,drove,match.baseline,0.481,no.change,0.599,skrone,FALSE,0.480769231,32
s6024,Female,1983,posttest,glinked,glank,sang,match.baseline,0.481,no.change,0.609,glank,FALSE,0.480769231,32
s6024,Female,1983,posttest,skeened,skent,kept,match.baseline,0.481,no.change,0.688,skeened,TRUE,0.480769231,32
s6024,Female,1983,pretest,skrurned,skrurnt,burnt,match.baseline,0.481,no.change,0.668,skrurned,TRUE,0.480769231,32
s6024,Female,1983,posttest,splided,splode,drove,match.baseline,0.481,no.change,0.475,splided,TRUE,0.480769231,32
s6024,Female,1983,posttest,squeeped,squept,kept,match.baseline,0.481,no.change,0.52,squept,FALSE,0.480769231,32
s6024,Female,1983,pretest,dreeped,drept,kept,match.baseline,0.481,no.change,0.441,drept,FALSE,0.480769231,32
s6024,Female,1983,posttest,slined,slone,drove,match.baseline,0.481,no.change,0.614,slone,FALSE,0.480769231,32
s6024,Female,1983,posttest,slurned,slurnt,burnt,match.baseline,0.481,no.change,0.698,slurnt,FALSE,0.480769231,32
s6024,Female,1983,posttest,squided,squode,drove,match.baseline,0.481,no.change,0.406,squided,TRUE,0.480769231,32
s6024,Female,1983,posttest,sninked,snank,sang,match.baseline,0.481,no.change,0.421,sninked,TRUE,0.480769231,32
s6024,Female,1983,pretest,beeved,bove,drove,match.baseline,0.481,no.change,0.574,bove,FALSE,0.480769231,32
s6024,Female,1983,posttest,trinked,trank,sang,match.baseline,0.481,no.change,0.49,trank,FALSE,0.480769231,32
s6024,Female,1983,posttest,kreened,krent,kept,match.baseline,0.481,no.change,0.683,krent,FALSE,0.480769231,32
s6024,Female,1983,pretest,squined,squone,drove,match.baseline,0.481,no.change,0.678,squone,FALSE,0.480769231,32
s6024,Female,1983,pretest,zelled,zelt,burnt,match.baseline,0.481,no.change,0.639,zelt,FALSE,0.480769231,32
s6024,Female,1983,pretest,skurned,skurnt,burnt,match.baseline,0.481,no.change,0.733,skurned,TRUE,0.480769231,32
s6024,Female,1983,posttest,gurned,gurnt,burnt,match.baseline,0.481,no.change,0.708,gurned,TRUE,0.480769231,32
s6024,Female,1983,posttest,sneemed,snemt,kept,match.baseline,0.481,no.change,0.713,snemt,FALSE,0.480769231,32
s6024,Female,1983,posttest,brurned,brurnt,burnt,match.baseline,0.481,no.change,0.554,brurnt,FALSE,0.480769231,32
s6024,Female,1983,pretest,fimmed,fam,sang,match.baseline,0.481,no.change,0.772,fam,FALSE,0.480769231,32
s6024,Female,1983,pretest,skelled,skelt,burnt,match.baseline,0.481,no.change,0.584,skelled,TRUE,0.480769231,32
s6024,Female,1983,posttest,vrilled,vrilt,burnt,match.baseline,0.481,no.change,0.772,vrilled,TRUE,0.480769231,32
s6024,Female,1983,posttest,shinged,shang,sang,match.baseline,0.481,no.change,0.45,shang,FALSE,0.480769231,32
s6024,Female,1983,posttest,squited,squote,drove,match.baseline,0.481,no.change,0.505,squited,TRUE,0.480769231,32
s6024,Female,1983,posttest,klilled,klilt,burnt,match.baseline,0.481,no.change,0.693,klilled,TRUE,0.480769231,32
