"Word","Valence.M","Arousal.M","Dominance.M","Word.Frequency","Valence.F","Arousal.F","Dominance.F","Freq.Bin","Freq.Colour","overallV"
"outdoors",7.36,5.48,6.32,6,7.58,6.35,6.23,"LOW","blue",7.47
"outrage",3.68,6.55,4.77,4,3.35,7.15,5.8,"LOW","blue",3.515
"outstanding",7.47,6.32,6.42,37,7.96,6.44,6.38,"HIGH","red",7.715
"overcast",4,4.21,4.26,9,3.33,2.95,4.14,"MID","darkgreen",3.665
"overwhelmed",4.87,6.4,4.93,4,3.88,7.29,3.41,"LOW","blue",4.375
"owl",6.04,4,6,2,5.58,3.96,5.65,"LOW","blue",5.81
"pain",2.9,5.7,4.32,88,1.54,7.12,3.27,"HIGH","red",2.22
"paint",5.16,4.58,5.63,37,6.05,3.86,5.86,"HIGH","red",5.605
"palace",6.47,4.82,6,38,7.65,5.29,5.48,"HIGH","red",7.06
"pamphlet",4.85,3.6,4.65,3,4.73,3.81,4.62,"LOW","blue",4.79
"pancakes",6.56,3.92,6.2,0,5.62,4.19,5.35,"LOW","blue",6.09
"panic",3.52,6.52,3.56,22,2.73,7.5,2.85,"MID","darkgreen",3.125
"paper",5.33,2.45,4.45,157,5.13,2.52,4.48,"HIGH","red",5.23
"paradise",8.6,5.85,6.5,12,8.85,4.4,5.55,"MID","darkgreen",8.725
"paralysis",2.39,4.84,2.58,6,1.64,4.64,2.55,"LOW","blue",2.015
"part",5.11,4.67,4.56,500,5.12,3.23,4.88,"HIGH","red",5.115
"party",7.12,6.59,5.59,216,8.35,6.76,6,"HIGH","red",7.735
"passage",5.53,4.44,5.28,49,5.12,4.31,4.85,"HIGH","red",5.325
"passion",7.8,7.7,6.2,28,8.1,7.1,6.1,"MID","darkgreen",7.95
"pasta",6.68,4.88,5.68,0,6.69,5,5.92,"LOW","blue",6.685
"patent",5.75,3.08,5.42,35,5.1,3.68,4.68,"HIGH","red",5.425
"patient",4.71,4.19,4.29,86,5.86,4.23,5.52,"HIGH","red",5.285
"patriot",6.85,6.4,6.55,10,6.59,4.05,5.32,"MID","darkgreen",6.72
"peace",7.25,3.85,5.7,198,8.2,2.05,5.2,"HIGH","red",7.725
"penalty",3.09,4.68,4.23,14,2.55,5.55,3.65,"MID","darkgreen",2.82
"pencil",5.3,3,4.5,34,5.19,3.19,4.88,"HIGH","red",5.245
"penthouse",6.9,6.2,6.9,1,6.73,4.91,6.18,"LOW","blue",6.815
"people",6.88,5.12,6.08,847,7.77,6.73,6.19,"HIGH","red",7.325
"perfection",8,5,7.09,11,6.97,6.32,6.58,"MID","darkgreen",7.485
"perfume",6.21,5.21,6,10,7.23,4.91,5.86,"MID","darkgreen",6.72
"person",6.58,3.58,5.92,175,6.22,4.42,5.13,"HIGH","red",6.4
"pervert",4.15,6.21,5.46,1,2.08,6.28,4.35,"LOW","blue",3.115
"pest",3.79,5.31,4.85,4,2.76,5.77,5.52,"LOW","blue",3.275
"pet",5.86,5.05,5.62,8,7.8,5.15,6.1,"MID","darkgreen",6.83
"phase",5.19,3.57,4.76,72,5.14,4.57,4.55,"HIGH","red",5.165
"pie",6.45,4.7,5.25,14,6.38,3.81,5.42,"MID","darkgreen",6.415
"pig",5.1,4.71,6.1,8,5.05,3.65,4.55,"MID","darkgreen",5.075
"pillow",7.88,3.62,4.5,8,7.95,2.45,4.6,"MID","darkgreen",7.915
"pinch",4.38,4.81,5.19,6,3.25,4.35,4.3,"LOW","blue",3.815
"pistol",5.89,6.21,6.95,27,2.73,6.09,3.41,"MID","darkgreen",4.31
"pity",3.71,3.48,4.43,14,3.05,4.14,3.81,"MID","darkgreen",3.38
"pizza",6.8,5.08,5.32,3,6.5,5.38,6.04,"LOW","blue",6.65
"plain",4.8,3.35,4.7,48,4,3.68,4.71,"HIGH","red",4.4
"plane",6.32,6.08,4.8,114,6.54,6.2,4.77,"HIGH","red",6.43
"plant",6.12,3.31,4.44,125,5.88,3.81,4.88,"HIGH","red",6
"pleasure",8,6.2,5.8,62,8.38,5.59,6.28,"HIGH","red",8.19
"poetry",5.29,4.35,5.35,88,6.23,3.76,5.28,"HIGH","red",5.76
"poison",2.27,5.07,2.8,10,1.81,6.62,3.27,"MID","darkgreen",2.04
"politeness",6.8,3.73,5.13,5,7.43,3.74,6.13,"LOW","blue",7.115
"pollute",2,6.14,5.77,1,1.77,6.04,4.5,"LOW","blue",1.885
"poster",5.45,4.65,4.95,4,5.25,3.33,4.88,"LOW","blue",5.35
"poverty",2.08,4.92,3.93,20,1.46,4.84,2.8,"MID","darkgreen",1.77
"power",7.29,7.07,7.29,342,6.12,6.44,7.28,"HIGH","red",6.705
"powerful",6.88,5.88,7.29,63,6.81,5.8,7.12,"HIGH","red",6.845
"prairie",5.33,3.75,5.17,21,5.93,3.26,4.39,"MID","darkgreen",5.63
"present",6.55,5.6,5.5,377,7.32,4.68,6.14,"HIGH","red",6.935
"pressure",3.5,5.55,3.1,185,3.27,6.55,3.77,"HIGH","red",3.385
"prestige",7.45,6.15,7.05,29,7.09,5.59,6.77,"MID","darkgreen",7.27
"pretty",7.65,6.65,4.95,107,7.85,5.37,6.05,"HIGH","red",7.75
"pride",6.53,5.8,6.6,42,7.22,5.84,7.28,"HIGH","red",6.875
"priest",6.06,5.41,4.88,16,6.65,3.71,4.88,"MID","darkgreen",6.355
"prison",2.25,5.92,4.58,42,1.97,5.61,4.04,"HIGH","red",2.11
"privacy",5.73,3.93,4.87,12,5.96,4.23,6.12,"MID","darkgreen",5.845
"profit",7.8,7.4,6.2,28,7.54,6.27,5.65,"MID","darkgreen",7.67
"progress",7.45,6.05,6.3,120,8,6.29,7.18,"HIGH","red",7.725
"promotion",8,5.67,6.83,26,8.28,6.74,6.77,"MID","darkgreen",8.14
"protected",6.25,4.1,5.3,31,8.12,4.08,6.19,"HIGH","red",7.185
"proud",8.08,5.91,6.73,50,8,5.39,6.74,"HIGH","red",8.04
"pungent",4.38,4.19,5.1,4,3.5,4.3,4.45,"LOW","blue",3.94
"punishment",2.4,5.8,3.53,21,2.12,6,3.48,"MID","darkgreen",2.26
"puppy",7.3,6.1,4.8,2,7.66,5.76,5.76,"LOW","blue",7.48
"pus",2.84,4.92,4.4,0,2.88,4.73,4.31,"LOW","blue",2.86
"putrid",2.86,5.46,4.85,0,2.12,5.88,4.92,"LOW","blue",2.49
"python",5.39,5.56,6.33,14,3.12,6.62,3.27,"MID","darkgreen",4.255
"quality",6.39,4.5,6,114,6.15,4.46,5.38,"HIGH","red",6.27
"quarrel",3.5,6.1,4.05,20,2.5,6.44,4,"MID","darkgreen",3
"quart",5.45,4.1,5.55,3,5.33,3.17,4.92,"LOW","blue",5.39
"queen",5.81,4.73,4.67,41,7.1,4.8,6.35,"HIGH","red",6.455
"quick",6.7,6.65,6.65,68,6.59,6.5,6.5,"HIGH","red",6.645
"quiet",5.75,2.5,5.08,76,5.52,2.94,4.16,"HIGH","red",5.635
"rabbit",6.4,3.64,6.04,11,6.73,4.38,6.12,"MID","darkgreen",6.565
"rabies",1.58,6.08,4,1,1.86,6.1,3.79,"LOW","blue",1.72
"radiant",6.35,5.05,5.9,8,7.04,5.67,5.38,"MID","darkgreen",6.695
"radiator",4.5,4.45,4.75,4,4.82,3.64,4.86,"LOW","blue",4.66
"radio",6.67,5.36,5.5,120,6.77,4.46,5.15,"HIGH","red",6.72
"rage",2.55,8.33,7.18,16,2.35,8.09,4.96,"MID","darkgreen",2.45
"rain",5.36,3.68,5.2,70,4.81,3.62,4.38,"HIGH","red",5.085
"rainbow",8,4.88,4.88,4,8.25,4.45,4.6,"LOW","blue",8.125
"rancid",4.47,5.37,5.32,0,4.24,4.81,4.04,"LOW","blue",4.355
"rat",3.5,4.5,5.58,6,2.82,5.14,4.11,"LOW","blue",3.16
"rattle",5.5,4.4,3.8,5,4.85,4.35,4.31,"LOW","blue",5.175
"razor",5,6.22,5.28,15,4.68,4.96,4.64,"MID","darkgreen",4.84
"red",6.36,4.96,5.33,197,6.46,5.62,6.19,"HIGH","red",6.41
"refreshment",7.83,3.92,5,2,7.28,4.68,5,"LOW","blue",7.555
"regretful",2.33,5.73,3.93,1,2.25,5.75,3.19,"LOW","blue",2.29
"rejected",1.83,6.67,3.42,33,1.38,6.26,2.45,"HIGH","red",1.605
"relaxed",6.4,3.2,5.6,14,7.39,1.87,5.52,"MID","darkgreen",6.895
"repentant",5,4.14,5,1,5.86,5.05,5.68,"LOW","blue",5.43
"reptile",5.5,5.11,5.33,0,4.27,5.23,4.38,"LOW","blue",4.885
"rescue",7.9,7.1,6.7,15,7.5,5.95,6.2,"MID","darkgreen",7.7
"resent",3.9,4.24,3.8,8,3.64,4.9,5.1,"MID","darkgreen",3.77
"reserved",4.92,3,5.25,27,4.87,3.38,3.94,"MID","darkgreen",4.895
"respect",7.25,5.12,6.25,125,7.95,5.25,7.4,"HIGH","red",7.6
"respectful",6.92,3.67,5.17,4,7.34,5,5.89,"LOW","blue",7.13
"restaurant",6.62,6.14,6.29,41,6.9,4.65,5.15,"HIGH","red",6.76
"reunion",6.45,6.05,5.8,11,6.5,6.58,5.5,"MID","darkgreen",6.475
"reverent",5.5,4.2,4.84,3,5.2,3.8,4.5,"LOW","blue",5.35
"revolt",3.8,7,6.7,8,4.24,6.41,6,"MID","darkgreen",4.02
"revolver",5.65,5.25,5.75,14,2.48,5.82,3.1,"MID","darkgreen",4.065
"reward",7.13,4.53,5.8,15,7.78,5.23,6.13,"MID","darkgreen",7.455
"riches",7.47,6.5,6.5,2,7.85,5.96,6.88,"LOW","blue",7.66
"ridicule",3.8,4.9,4.05,5,2.62,6.54,3.73,"LOW","blue",3.21
"rifle",5.48,6.48,5.46,63,2.62,6.23,2.96,"HIGH","red",4.05
"rigid",4.15,4.75,4.85,24,3.25,4.58,4.42,"MID","darkgreen",3.7
"riot",3.55,6.15,3.95,7,2.5,6.58,4.35,"MID","darkgreen",3.025
"river",6.6,4,4.4,165,6.93,4.69,5.34,"HIGH","red",6.765
"roach",3.08,4.91,5.45,2,1.95,7.5,4.5,"LOW","blue",2.515
"robber",3.11,5.7,4.32,2,2.18,5.81,3,"LOW","blue",2.645
"rock",5.84,4.45,5.26,75,5.32,4.81,5.05,"HIGH","red",5.58
"rollercoaster",7.8,7.6,5.2,0,8.23,8.5,5,"LOW","blue",8.015
"romantic",8.13,7.93,6.13,32,8.45,7.36,6.05,"HIGH","red",8.29
"rotten",2.67,4.27,4.47,2,2,4.7,4.22,"LOW","blue",2.335
"rough",4.71,4.95,4.81,41,4.76,5.68,4.81,"HIGH","red",4.735
"rude",2.82,6.42,5.55,6,2.35,6.26,4.61,"LOW","blue",2.585
"runner",5.64,3.88,5.8,1,5.69,5.62,5.15,"LOW","blue",5.665
"rusty",3.92,4.25,4.92,8,3.84,3.59,4.39,"MID","darkgreen",3.88
"sad",1.87,4.2,4.13,35,1.43,4.09,3,"HIGH","red",1.65
"safe",6.3,4,5.79,58,7.71,3.75,5.83,"HIGH","red",7.005
"sailboat",6.52,4.76,5.8,1,7.96,5,5.92,"LOW","blue",7.24
"saint",5.84,5.05,5.11,16,7.05,4,5.59,"MID","darkgreen",6.445
"salad",5.4,3.73,5.67,9,5.91,3.84,5.38,"MID","darkgreen",5.655
"salute",5.56,5.12,5.59,3,6.2,5.45,5.35,"LOW","blue",5.88
"sapphire",6.6,5.13,5.47,0,7.21,4.93,5.59,"LOW","blue",6.905
"satisfied",7.44,4.44,5.11,36,8.12,5.12,6.5,"HIGH","red",7.78
"save",6.27,5.09,6.23,62,6.65,4.8,5.75,"HIGH","red",6.46
"savior",7.73,5.87,6.6,6,7.72,5.76,6.66,"LOW","blue",7.725
"scalding",3.17,6.89,3.72,1,2.58,5.31,3.88,"LOW","blue",2.875
"scandal",4.05,4.95,4.84,8,2.68,5.27,3.91,"MID","darkgreen",3.365
"scapegoat",3.81,4.57,3.57,1,3.52,4.5,3.48,"LOW","blue",3.665
"scar",3.6,4.65,4.25,10,3.18,4.91,3.55,"MID","darkgreen",3.39
"scared",3.52,6.84,3.48,21,2.08,6.81,2.42,"MID","darkgreen",2.8
"scholar",7.08,5,5.82,15,7.35,5.17,6.96,"MID","darkgreen",7.215
"scissors",5.14,4.14,4.95,1,4.95,5,5.36,"LOW","blue",5.045
"scorching",3.55,4.67,4.14,0,3.95,5.32,4.05,"LOW","blue",3.75
"scorn",3.07,5.53,4.4,4,2.72,5.45,3.69,"LOW","blue",2.895
"scornful",4,4.2,4.8,5,2.27,5.69,4.42,"LOW","blue",3.135
"scorpion",3.61,4.63,4.06,0,3.75,6.42,3.92,"LOW","blue",3.68
"scream",4.04,6.68,4.68,13,3.73,7.38,4.81,"MID","darkgreen",3.885
"scurvy",3.53,4.41,4.29,1,2.96,4.92,4.6,"LOW","blue",3.245
"seasick",2.2,5.2,3.47,0,1.96,6.15,3.38,"LOW","blue",2.08
"seat",4.6,2.6,4.6,54,5.17,3.17,5,"HIGH","red",4.885
"secure",6.94,3,5.65,30,8,3.24,6.12,"HIGH","red",7.47
"selfish",3.25,5.33,5.33,8,2.04,5.58,4.33,"MID","darkgreen",2.645
"sentiment",5.76,4.28,4.71,23,6.12,4.5,5.35,"MID","darkgreen",5.94
"serious",5.67,4,5.58,116,4.82,4,4.93,"HIGH","red",5.245
"severe",4.05,5.3,4.2,39,2.38,5.48,3.5,"HIGH","red",3.215
"shadow",4.5,3.58,4,36,4.29,4.56,4.26,"HIGH","red",4.395
"shamed",2.95,3.95,3.15,1,2.05,5.8,2.8,"LOW","blue",2.5
"shark",3.8,7.24,2.84,0,3.5,7.08,2.42,"LOW","blue",3.65
"sheltered",5.5,4.69,4.06,4,5.95,3.95,3.5,"LOW","blue",5.725
"ship",5.35,4,4.85,83,5.75,4.75,5.4,"HIGH","red",5.55
"shotgun",6.16,6.11,6.79,8,2.82,6.41,4,"MID","darkgreen",4.49
"shriek",4.15,4.9,4.5,5,3.75,5.75,4.12,"LOW","blue",3.95
"shy",4.59,3.88,3.12,13,4.68,3.69,3.65,"MID","darkgreen",4.635
"sick",2.12,4.44,3.17,51,1.69,4.15,2.92,"HIGH","red",1.905
"sickness",2.57,6.08,5.31,6,2.08,5.36,3.08,"LOW","blue",2.325
"silk",6.53,4,4.76,12,7.16,3.5,4.84,"MID","darkgreen",6.845
"silly",7.05,6.32,5.74,15,7.73,5.5,6.23,"MID","darkgreen",7.39
"sin",3.36,5.07,4.21,53,2.5,6.15,3.31,"HIGH","red",2.93
"sinful",3,6.33,4.13,3,2.88,6.27,4.31,"LOW","blue",2.94
"sissy",3.69,5.06,4.59,0,2.81,5.23,2.92,"LOW","blue",3.25
"skeptical",5,5.35,4.88,7,4.2,4.62,4.24,"MID","darkgreen",4.6
"skijump",7.04,6.75,5.38,0,7.08,7.35,4.46,"LOW","blue",7.06
"skull",4.6,5.4,4.96,3,3.96,4.12,4.77,"LOW","blue",4.28
"sky",7.28,4.36,5,58,7.46,4.19,5.31,"HIGH","red",7.37
"skyscraper",6.04,5.6,4.36,2,5.73,5.81,4.31,"LOW","blue",5.885
"slap",3.53,6.29,3.94,2,2.56,6.58,4.38,"LOW","blue",3.045
"slaughter",2.17,6.92,4.75,10,1.44,6.71,3.47,"MID","darkgreen",1.805
"slave",2.18,5.06,4.06,30,1.62,7,2.76,"HIGH","red",1.9
"sleep",7.53,2.33,4.67,65,7.03,3.03,5.79,"HIGH","red",7.28
"slime",3.6,5,4.2,1,2.25,5.53,4.16,"LOW","blue",2.925
"slow",3.95,4.16,4.5,60,3.91,2.73,4.23,"HIGH","red",3.93
"slum",2.2,4.2,3.9,8,2.46,5,3.81,"MID","darkgreen",2.33
"slush",4.65,3.5,4.85,0,4.67,3.92,4.96,"LOW","blue",4.66
"smallpox",2.5,5.85,4.77,2,2.54,5.44,4.04,"LOW","blue",2.52
"smooth",6.72,5,4.78,42,6.48,4.85,5.32,"HIGH","red",6.6
"snake",4.08,6.72,4.48,44,2.58,6.92,3.08,"HIGH","red",3.33
"snob",2.75,5.75,5.33,1,3.6,5.61,5.03,"LOW","blue",3.175
"snow",6.88,5.36,5.92,59,7.27,6.12,5.69,"HIGH","red",7.075
"snuggle",7.8,4.47,5.8,4,8,3.96,5.57,"LOW","blue",7.9
"social",6.42,5.26,5.16,380,7.25,5.17,6.48,"HIGH","red",6.835
"soft",6.84,5,6.16,61,7.38,4.32,5.86,"HIGH","red",7.11
"solemn",4.88,3.88,4.5,12,3.85,3.3,4.7,"MID","darkgreen",4.365
"song",6.38,5.38,5.67,70,7.85,6.8,6.05,"HIGH","red",7.115
"soothe",7.42,4.53,4.68,2,7.2,4.31,5.88,"LOW","blue",7.31
"sour",3.65,4.95,4.8,3,4.18,5.23,4.5,"LOW","blue",3.915
"space",6.8,5.08,5.24,184,6.76,5.2,5.16,"HIGH","red",6.78
"spanking",5,5.7,4.7,0,2.33,5.39,3.22,"LOW","blue",3.665
"sphere",5.45,4.1,5.05,22,5.23,3.86,4.95,"MID","darkgreen",5.34
"spider",3.64,5.48,4.96,2,3.04,5.92,4.54,"LOW","blue",3.34
"spirit",7,5.5,4.8,182,7,5.59,6.17,"HIGH","red",7
"spouse",7.57,6.38,5.85,3,7.58,4.6,5.36,"LOW","blue",7.575
"spray",5.45,4.45,5.14,16,5.45,3.8,5.1,"MID","darkgreen",5.45
"spring",7.5,6.95,6.35,127,8,4.5,6.18,"HIGH","red",7.75
"square",4.9,2.5,4.6,143,4.69,3.41,4.48,"HIGH","red",4.795
"stagnant",4.15,3.95,4.75,5,4.14,3.91,4.67,"LOW","blue",4.145
"star",7.33,6,5.07,25,7.23,5.73,4.46,"MID","darkgreen",7.28
"startled",4.41,6.53,5.24,21,4.56,7.19,3.96,"MID","darkgreen",4.485
"starving",2.8,6,3.64,6,2,5.23,3.62,"LOW","blue",2.4
"statue",5.11,3.89,5.53,17,5.23,3.09,4.45,"MID","darkgreen",5.17
"stench",2.6,4.35,4.55,1,1.82,4.57,4.05,"LOW","blue",2.21
"stiff",5.1,4.2,5,21,4.29,3.86,4.86,"MID","darkgreen",4.695
"stink",2.8,4.27,4.07,3,3.13,4.26,4.22,"LOW","blue",2.965
"stomach",4.95,4,4.7,37,4.71,4.04,4.67,"HIGH","red",4.83
"stool",4.1,3.67,5.29,8,5,4.52,4.67,"MID","darkgreen",4.55
"storm",5.3,6.35,4.85,26,4.62,5.38,4.24,"MID","darkgreen",4.96
"stove",5.47,4.26,5,15,4.62,4.69,5.64,"MID","darkgreen",5.045
"street",5.3,3.9,5.2,244,5.19,3.19,4.65,"HIGH","red",5.245
"stress",2.33,7.42,4.83,107,2,7.47,3.58,"HIGH","red",2.165
"strong",7.4,6.07,6.67,202,6.91,5.83,7.09,"HIGH","red",7.155
"stupid",2.91,4.08,4,24,2.1,4.97,2.57,"MID","darkgreen",2.505
"subdued",5,2.83,5,8,4.54,2.93,3.68,"MID","darkgreen",4.77
"success",8.2,6.2,6.2,93,8.35,6.04,7.35,"HIGH","red",8.275
"suffocate",1.64,5,4.36,1,1.52,6.57,3,"LOW","blue",1.58
"sugar",6.4,6.2,5.3,34,7.05,5.14,5.68,"HIGH","red",6.725
"suicide",1.56,5.18,4.12,17,1,6.2,3.15,"MID","darkgreen",1.28
"sun",6.96,4.8,5.54,112,8.12,5.27,6.73,"HIGH","red",7.54
"sunlight",7,5.6,5.4,17,8.45,6.86,5.86,"MID","darkgreen",7.725
"sunrise",7.75,5.09,5.36,10,7.91,5.04,5.26,"MID","darkgreen",7.83
"sunset",6.8,4.13,5.67,14,8.19,4.23,5.65,"MID","darkgreen",7.495
"surgery",3.12,5.68,2.92,6,2.62,7,2.58,"LOW","blue",2.87
"surprised",7.07,7.8,5.87,58,7.66,7.31,6.22,"HIGH","red",7.365
"suspicious",4,6,5.06,13,3.55,6.45,4,"MID","darkgreen",3.775
"swamp",5.36,5.27,5.82,5,4.9,4.4,4.7,"LOW","blue",5.13
"sweetheart",8.27,5.33,5.93,9,8.52,5.61,6.09,"MID","darkgreen",8.395
"swift",6.58,5.95,6.32,32,6.36,4.91,6.27,"HIGH","red",6.47
"swimmer",6.25,4.12,5.75,0,6.81,5.46,6.15,"LOW","blue",6.53
"syphilis",1.9,4.45,3.1,0,1.45,7,3.55,"LOW","blue",1.675
"table",5.3,3.1,3.9,198,5.19,2.85,4.69,"HIGH","red",5.245
"talent",7.4,6.6,6.33,40,7.65,6.08,6.58,"HIGH","red",7.525
"tamper",4.1,5.1,4.71,1,4.1,5.05,4.45,"LOW","blue",4.1
"tank",5.92,4.92,5.58,12,4.42,4.85,4.04,"MID","darkgreen",5.17
"taste",6.68,5.37,5.53,59,6.64,5.12,5.48,"HIGH","red",6.66
"taxi",5.45,3.8,4.25,16,4.62,3.08,4.96,"MID","darkgreen",5.035
"teacher",5.75,4.5,5.05,80,5.62,3.67,5.17,"HIGH","red",5.685
"tease",6.05,6.42,5.16,6,3.96,5.68,4.29,"LOW","blue",5.005
"tender",6.57,5.1,5.33,11,7.29,4.68,5.33,"MID","darkgreen",6.93
"tennis",5.88,4.4,5.72,15,6.15,4.81,5.5,"MID","darkgreen",6.015
"tense",3.5,6,5.1,15,3.58,6.73,5.27,"MID","darkgreen",3.54
"termite",3.95,4.05,4.25,0,3.28,6.42,3.58,"LOW","blue",3.615
"terrible",2.38,5.53,4.36,45,1.65,6.69,3.15,"HIGH","red",2.015
"terrific",8.25,5.92,7,5,8.12,6.35,6.45,"LOW","blue",8.185
"terrified",1.8,7.3,3.6,7,1.69,8.08,2.88,"MID","darkgreen",1.745
"terrorist",1.96,6.76,2.88,0,1.42,7.77,2.42,"LOW","blue",1.69
"thankful",6.33,4.4,5.67,6,7.16,4.31,5.16,"LOW","blue",6.745
"theory",5.4,4.8,4.85,129,5.2,4.45,4.9,"HIGH","red",5.3
"thermometer",4.8,3.45,4.55,0,4.67,4.09,4.24,"LOW","blue",4.735
"thief",3.47,6.27,4.93,8,1.5,7.19,3.25,"MID","darkgreen",2.485
"thorn",3.59,5.18,4.47,3,3.68,5.12,4.44,"LOW","blue",3.635
"thought",6,4.81,5.67,515,6.8,4.85,6.4,"HIGH","red",6.4
"thoughtful",7.41,6.44,5.38,11,7.85,5.15,5.8,"MID","darkgreen",7.63
"thrill",8.4,8.4,6.53,5,7.85,7.81,6.54,"LOW","blue",8.125
"tidy",6.26,3.68,4.95,1,6.32,4.36,5.88,"LOW","blue",6.29
"time",5.15,5.36,5.31,1599,5.38,4.24,4.28,"HIGH","red",5.265
"timid",3.8,3.07,3.2,5,3.9,4.66,3.03,"LOW","blue",3.85
"tobacco",3.4,4.6,3.6,19,3.23,4.92,4.27,"MID","darkgreen",3.315
"tomb",3.44,4.35,4.25,11,2.55,5.05,3.3,"MID","darkgreen",2.995
"tool",5.5,4.8,6.4,40,4.91,3.91,5,"HIGH","red",5.205
"toothache",2,5.83,4.5,0,1.97,5.43,3.64,"LOW","blue",1.985
"tornado",3.17,6.33,5.42,1,2.29,7.03,3.82,"LOW","blue",2.73
"torture",1.55,5.15,3.15,3,1.58,7.11,3.5,"LOW","blue",1.565
"tower",5.57,4.38,6.33,13,5.35,3.5,5.2,"MID","darkgreen",5.46
"toxic",2,5.92,4.25,3,2.14,6.61,4.5,"LOW","blue",2.07
"toy",7,5.75,6.6,4,7,4.58,5.67,"LOW","blue",7
"tragedy",2.27,6.13,3.87,49,1.5,6.31,3.28,"HIGH","red",1.885
"traitor",2.19,5.41,5.06,2,2.25,6.1,4.25,"LOW","blue",2.22
"trash",2.44,3.96,4.88,2,2.88,4.35,5.58,"LOW","blue",2.66
"trauma",2.44,6.12,2.8,1,1.77,6.54,2.88,"LOW","blue",2.105
"travel",6.64,6.09,6.41,61,7.6,6.35,6.2,"HIGH","red",7.12
"treasure",8.47,7.5,6.31,4,8.1,6.15,6.4,"LOW","blue",8.285
"treat",7.2,5.8,5.35,26,7.5,5.71,6.19,"MID","darkgreen",7.35
"tree",6.42,2.67,5.75,59,6.28,3.75,4.79,"HIGH","red",6.35
"triumph",7.2,6,6.75,22,8.28,5.62,7.15,"MID","darkgreen",7.74
"triumphant",8.8,6.36,6.87,5,8.83,7.04,7,"LOW","blue",8.815
"trophy",7.9,5.8,5.9,8,7.73,5.23,6.65,"MID","darkgreen",7.815
"trouble",3.75,5.91,4.64,134,2.65,7.3,4.96,"HIGH","red",3.2
"troubled",2.6,5.1,4.3,31,2,6.28,3.76,"HIGH","red",2.3
"truck",6,4.72,5.52,57,4.96,4.96,5.15,"HIGH","red",5.48
"trumpet",5.81,5.19,4.59,7,5.7,4.8,4.55,"MID","darkgreen",5.755
"trunk",5,3.95,4.89,8,5.16,4.35,5.32,"MID","darkgreen",5.08
"trust",5.67,5.27,5.73,52,7.21,5.31,7.07,"HIGH","red",6.44
"truth",7.5,4.92,6.54,126,7.96,5.04,6.44,"HIGH","red",7.73
"tumor",3.16,5.68,4.05,17,1.77,7.12,3.23,"MID","darkgreen",2.465
"tune",6.32,4.9,5.95,10,7.45,4.55,5.55,"MID","darkgreen",6.885
"twilight",6.83,4.94,5.56,4,7.5,4.54,5.62,"LOW","blue",7.165
"ugly",2.5,5,4.36,21,2.39,5.57,4.22,"MID","darkgreen",2.445
"ulcer",1.92,6.33,4.33,5,1.72,6.04,4.11,"LOW","blue",1.82
"umbrella",5.2,3.04,5.64,8,5.12,4.32,5.2,"MID","darkgreen",5.16
"unfaithful",2.4,5.47,3.33,1,1.85,6.62,2.85,"LOW","blue",2.125
"unhappy",1.93,4.07,2.8,26,1.35,4.26,3.7,"MID","darkgreen",1.64
"unit",5.7,4.4,5.65,103,5.5,3.21,4.67,"HIGH","red",5.6
"untroubled",7.55,3.42,5.18,0,7.65,4.13,5.7,"LOW","blue",7.6
"upset",2,5.38,4.31,14,2,6.25,3.9,"MID","darkgreen",2
"urine",2.84,4.16,5.08,1,3.65,4.23,5.38,"LOW","blue",3.245
"useful",6.76,4.35,5.82,58,7.38,4.2,6,"HIGH","red",7.07
"useless",2.73,5.18,5.09,17,1.89,4.75,3.44,"MID","darkgreen",2.31
"utensil",4.91,3.73,5.82,0,5.4,3.4,4.95,"LOW","blue",5.155
"vacation",7.73,4.73,6.4,47,8.38,6.1,7,"HIGH","red",8.055
"valentine",7.8,5.9,4.9,2,8.23,6.12,6.15,"LOW","blue",8.015
"vampire",4.76,6.24,5.24,1,3.92,6.46,4.92,"LOW","blue",4.34
"vanity",4.33,4.92,4.5,7,4.29,5,4.91,"MID","darkgreen",4.31
"vehicle",6.42,4.95,6.05,35,6.15,4.38,5.56,"HIGH","red",6.285
"venom",3.71,5.5,4.38,2,1.8,6.55,3.6,"LOW","blue",2.755
"vest",4.94,4.33,5.11,4,5.46,3.69,5.08,"LOW","blue",5.2
"victim",2.44,6,3.48,27,1.92,6.12,1.92,"MID","darkgreen",2.18
"victory",7.87,6.2,7,61,8.6,6.88,7.42,"HIGH","red",8.235
"vigorous",6.92,4.75,5.17,29,6.74,6.38,5.52,"MID","darkgreen",6.83
"village",5.88,4.31,5.25,72,5.95,3.9,4.7,"HIGH","red",5.915
"violent",3.53,6.33,5.33,33,1.48,7.26,5.04,"HIGH","red",2.505
"violin",4.88,3.56,4.8,11,5.96,3.42,5.54,"MID","darkgreen",5.42
"virgin",6.29,6.33,5.81,35,6.62,4.73,6.67,"HIGH","red",6.455
"virtue",6.15,5.2,5.85,30,6.27,4,6.35,"HIGH","red",6.21
"vision",6.87,4.47,6,56,6.5,4.75,6.03,"HIGH","red",6.685
"world",6.13,4.93,5.38,787,6.69,5.52,5.21,"HIGH","red",6.41
"wounds",2.96,5.8,4,8,2.08,5.85,3.85,"MID","darkgreen",2.52
"writer",4.95,3.45,4.55,73,6.05,5.38,4.9,"HIGH","red",5.5
