"poundGuesses"	"kgGuesses"
685	310.799
685	310.799
685	310.799
686	311.252
686	311.252
686	311.252
686	311.252
687	311.706
687	311.706
687	311.706
687	311.706
687	311.706
687	311.706
688	312.16
688	312.16
689	312.613
689	312.613
689	312.613
689	312.613
689	312.613
689	312.613
689	312.613
689	312.613
690	313.067
690	313.067
690	313.067
692	313.975
692	313.975
693	314.428
693	314.428
693	314.428
693	314.428
693	314.428
695	315.336
695	315.336
695	315.336
695	315.336
695	315.336
695	315.336
695	315.336
695	315.336
697	316.243
697	316.243
698	316.697
698	316.697
699	317.151
699	317.151
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
700	317.604
701	318.058
701	318.058
701	318.058
702	318.512
702	318.512
702	318.512
702	318.512
702.75	318.852
703	318.966
703	318.966
703	318.966
703	318.966
703	318.966
703	318.966
704	319.419
704.5	319.646
705	319.873
705	319.873
707	320.78
707	320.78
709	321.688
710	322.142
710	322.142
710	322.142
711	322.595
711	322.595
711	322.595
711	322.595
712	323.049
712	323.049
712	323.049
712	323.049
712	323.049
712	323.049
713	323.503
713	323.503
713	323.503
714	323.956
714	323.956
714	323.956
715	324.41
715	324.41
715	324.41
716	324.864
716	324.864
717	325.318
717	325.318
717	325.318
718	325.771
718	325.771
718	325.771
719	326.225
719	326.225
720	326.679
720	326.679
720	326.679
720	326.679
720	326.679
720	326.679
720	326.679
720	326.679
720	326.679
