"participant","pretest.reg","gender","phase","weak.past","strong.past","category","sensibility","partnerRegCondition","item.reg.mean","response","regular","age"
"s6037",0.423076923076923,"Female","posttest","jurned","jurnt","burnt","sensible","decrease",0.718,"jurnt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","jeemed","jemt","kept","sensible","decrease",0.723,"jeemed",TRUE,23
"s6037",0.423076923076923,"Female","posttest","chited","chote","drove","sensible","decrease",0.579,"chote",FALSE,23
"s6037",0.423076923076923,"Female","posttest","chimmed","cham","sang","sensible","decrease",0.743,"chimmed",TRUE,23
"s6037",0.423076923076923,"Female","posttest","splided","splode","drove","sensible","decrease",0.475,"splided",TRUE,23
"s6037",0.423076923076923,"Female","posttest","slined","slone","drove","sensible","decrease",0.614,"slone",FALSE,23
"s6037",0.423076923076923,"Female","posttest","gurned","gurnt","burnt","sensible","decrease",0.708,"gurnt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","theeped","thept","kept","sensible","decrease",0.416,"thept",FALSE,23
"s6037",0.423076923076923,"Female","posttest","squeened","squent","kept","sensible","decrease",0.629,"squeened",TRUE,23
"s6037",0.423076923076923,"Female","posttest","kleemed","klemt","kept","sensible","decrease",0.653,"klemt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","thrimmed","thram","sang","sensible","decrease",0.683,"thram",FALSE,23
"s6037",0.423076923076923,"Female","posttest","zited","zote","drove","sensible","decrease",0.54,"zote",FALSE,23
"s6037",0.423076923076923,"Female","posttest","kreened","krent","kept","sensible","decrease",0.683,"krent",FALSE,23
"s6037",0.423076923076923,"Female","posttest","strimmed","stram","sang","sensible","decrease",0.619,"stram",FALSE,23
"s6037",0.423076923076923,"Female","posttest","breeped","brept","kept","sensible","decrease",0.55,"brept",FALSE,23
"s6037",0.423076923076923,"Female","posttest","dwimmed","dwam","sang","sensible","decrease",0.515,"dwam",FALSE,23
"s6037",0.423076923076923,"Female","posttest","skrilled","skrilt","burnt","sensible","decrease",0.733,"skrilt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","shinged","shang","sang","sensible","decrease",0.45,"shang",FALSE,23
"s6037",0.423076923076923,"Female","posttest","prurned","prurnt","burnt","sensible","decrease",0.688,"prurnt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","sninked","snank","sang","sensible","decrease",0.421,"snank",FALSE,23
"s6037",0.423076923076923,"Female","posttest","schmined","schmone","drove","sensible","decrease",0.703,"schmined",TRUE,23
"s6037",0.423076923076923,"Female","posttest","glilled","glilt","burnt","sensible","decrease",0.673,"glilt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","sneemed","snemt","kept","sensible","decrease",0.713,"sneemed",TRUE,23
"s6037",0.423076923076923,"Female","posttest","glinked","glank","sang","sensible","decrease",0.609,"glank",FALSE,23
"s6037",0.423076923076923,"Female","posttest","klilled","klilt","burnt","sensible","decrease",0.693,"klilt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","swided","swode","drove","sensible","decrease",0.356,"swided",TRUE,23
"s6037",0.423076923076923,"Female","posttest","swurned","swurnt","burnt","sensible","decrease",0.723,"swurnt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","blurned","blurnt","burnt","sensible","decrease",0.639,"blurnt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","slurned","slurnt","burnt","sensible","decrease",0.698,"slurnt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","skinged","skang","sang","sensible","decrease",0.52,"skang",FALSE,23
"s6037",0.423076923076923,"Female","posttest","squeeped","squept","kept","sensible","decrease",0.52,"squept",FALSE,23
"s6037",0.423076923076923,"Female","posttest","ninked","nank","sang","sensible","decrease",0.647,"nank",FALSE,23
