"X","participant","pretest.reg","gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular"
196,"s6026",0.538461538461538,"Female",1985,"posttest","slined","slone","drove","sensible",0.538,"no.change",0.614,"slined",TRUE
197,"s6026",0.538461538461538,"Female",1985,"posttest","trinked","trank","sang","sensible",0.538,"no.change",0.49,"trinked",TRUE
198,"s6026",0.538461538461538,"Female",1985,"posttest","swided","swode","drove","sensible",0.538,"no.change",0.356,"swode",FALSE
199,"s6026",0.538461538461538,"Female",1985,"posttest","vurned","vurnt","burnt","sensible",0.538,"no.change",0.668,"vurned",TRUE
200,"s6026",0.538461538461538,"Female",1985,"posttest","squeened","squent","kept","sensible",0.538,"no.change",0.629,"squeened",TRUE
201,"s6026",0.538461538461538,"Female",1985,"posttest","thrimmed","thram","sang","sensible",0.538,"no.change",0.683,"thrimmed",TRUE
202,"s6026",0.538461538461538,"Female",1985,"posttest","kreened","krent","kept","sensible",0.538,"no.change",0.683,"kreened",TRUE
203,"s6026",0.538461538461538,"Female",1985,"posttest","sninked","snank","sang","sensible",0.538,"no.change",0.421,"sninked",TRUE
204,"s6026",0.538461538461538,"Female",1985,"posttest","dwimmed","dwam","sang","sensible",0.538,"no.change",0.515,"dwimmed",TRUE
205,"s6026",0.538461538461538,"Female",1985,"posttest","prurned","prurnt","burnt","sensible",0.538,"no.change",0.688,"prurned",TRUE
206,"s6026",0.538461538461538,"Female",1985,"posttest","neemed","nemt","kept","sensible",0.538,"no.change",0.658,"nemt",FALSE
207,"s6026",0.538461538461538,"Female",1985,"posttest","brurned","brurnt","burnt","sensible",0.538,"no.change",0.554,"brurned",TRUE
208,"s6026",0.538461538461538,"Female",1985,"posttest","schmined","schmone","drove","sensible",0.538,"no.change",0.703,"schmined",TRUE
209,"s6028",0.423076923076923,"Female",1991,"posttest","slilled","slilt","burnt","sensible",0.423,"no.change",0.693,"slilt",FALSE
210,"s6028",0.423076923076923,"Female",1991,"posttest","murned","murnt","burnt","sensible",0.423,"no.change",0.723,"murned",TRUE
