"subject","condition","correct","correctAnswer","experiment","subj.gender","interlocutor","inTraining","phase","promptImage","promptName","selection","targetImage","targetWord1","targetWord2","subj.yob","subject.age","trialNumber"
"s1385","linguistic",FALSE,"fekpek","exp1","Male","male_side",TRUE,"training","gate_large","fek","fekpak","gate_dimin","fekpek","fekpak",1978,36,32
"s1385","linguistic",TRUE,"wekpek","exp1","Male","male",TRUE,"training","fox_large_male","wek","wekpek","fox_dimin","wekpek","wekpak",1978,36,33
"s1385","linguistic",TRUE,"fekpek","exp1","Male","male_side",TRUE,"training","gate_large","fek","fekpek","gate_dimin","fekpek","fekpak",1978,36,34
"s1385","linguistic",FALSE,"wenpek","exp1","Male","male_side",TRUE,"training","chair_large","wen","wenpak","chair_dimin","wenpek","wenpak",1978,36,35
"s1385","linguistic",TRUE,"fekpek","exp1","Male","male_side",TRUE,"training","gate_large","fek","fekpek","gate_dimin","fekpek","fekpak",1978,36,36
"s1385","linguistic",TRUE,"wenpek","exp1","Male","male_side",TRUE,"training","chair_large","wen","wenpek","chair_dimin","wenpek","wenpak",1978,36,37
"s1385","linguistic",TRUE,"fekpek","exp1","Male","female_side",TRUE,"training","gate_large","fek","fekpek","gate_dimin","fekpek","fekpak",1978,36,38
"s1385","linguistic",FALSE,"wekpek","exp1","Male","female",TRUE,"training","fox_large_male","wek","wekpak","fox_dimin","wekpek","wekpak",1978,36,39
"s1385","linguistic",TRUE,"fekpek","exp1","Male","female_side",TRUE,"training","gate_large","fek","fekpek","gate_dimin","fekpek","fekpak",1978,36,40
"s1385","linguistic",TRUE,"wekpek","exp1","Male","female",TRUE,"training","fox_large_male","wek","wekpek","fox_dimin","wekpek","wekpak",1978,36,41
"s1385","linguistic",FALSE,"fanpak","exp1","Male","male",TRUE,"training","fox_large_male","fan","fanpek","fox_dimin","fanpek","fanpak",1978,36,42
"s1385","linguistic",FALSE,"wekpek","exp1","Male","female",TRUE,"training","fox_large_male","wek","wekpak","fox_dimin","wekpek","wekpak",1978,36,43
"s1385","linguistic",TRUE,"fekpek","exp1","Male","female_side",TRUE,"training","gate_large","fek","fekpek","gate_dimin","fekpek","fekpak",1978,36,44
"s1385","linguistic",TRUE,"wekpek","exp1","Male","female",TRUE,"training","fox_large_male","wek","wekpek","fox_dimin","wekpek","wekpak",1978,36,45
